Address,City,Lat,Lon
Bovenweg 223,Sint Pancras,52.6530852,4.7806014
Julianastraat 19,Waddinxveen,52.0429286,4.6564592
Kuipersgilde 3,Houten,52.0347605,5.1766045
De Kamp 1 A,Pannerden,51.88904849999999,6.0408078
Wildrijklaan 8,Sassenheim,52.2183432,4.5063729
Tol 4,Oudewater,52.0275855,4.8762696
Furkabaan 698,Utrecht,52.0599527,5.1388063
Abeelstraat 71,Dordrecht,51.7864097,4.707951899999999
Overegge 8,Zuidveen,52.77855,6.1054812
Gaasterland 59,Amstelveen,52.2821524,4.8224284
Oostopgaande 53,Nieuwlande,52.69579539999999,6.6267241
Ghijseland 198,Rhoon,51.858829,4.4311634
Diedenweg 10 A,Ede,52.0252044,5.6635154
Klaverbeemd 4,Terheijden,51.6440619,4.7566669
Burgemeester Schoutenstraat 13,Schaijk,51.7452681,5.630529699999999
Bouwhuisweg 10,Nieuwleusen,52.57423790000001,6.273938999999999
Kerkstraat 20,Linden,51.7488433,5.830735499999999
Kanariehof 25,Ermelo,52.295871,5.602568
Vlasven 33,Veghel,51.6343085,5.5581061
Mozartdreef 24,Veenendaal,52.0339167,5.5324619
Waardenborchstraat 28,Holten,52.2799245,6.4278879
Schrijvershoeve 22,Helmond,51.456661,5.607746
Vinkenbaan 5,Gilze,51.5479344,4.9356768
Sierra Nevada 70,Assendelft,52.4870604,4.7560638
Culenhof 48,Nuenen,51.461419,5.540413
Gentiaanstraat 84,Apeldoorn,52.2256048,5.9815361
Bovenste Boord 17,Linne,51.15735919999999,5.9492065
Tilburgweg 45,Arnhem,51.9511048,5.8545903
St Gertrudislaan 11,Eindhoven,51.42566129999999,5.4970776
Meerstraat 35,Hillegom,52.2927956,4.5813627
Onyx 7,'s-Gravenzande,52.0012836,4.1670315
Barend Kuisstraat 42,Nijkerk,52.2182879,5.4756181
Aart van der Leeuwstraat 8,Gorinchem,51.83817699999999,4.9999934
Indusstraat 38,Spijkenisse,51.84235529999999,4.353173
Baardmosstraat 3,Purmerend,52.49967530000001,4.955309
Lankforst 4205,Nijmegen,51.8140222,5.8087721
Jadeplantsoen 17,Almere,52.39472240000001,5.2993788
Lindestraat 10,St. Willebrord,51.551531,4.5793801
Prinsenstraat 7,Rijssen,52.3041262,6.5070099
Hoenderhof 4,Delfzijl,53.31553109999999,6.8973607
De Nachtegaal 22 G,Surhuisterveen,53.1881855,6.166690200000001
Eline Verelaan 17,Oosterhout (NB),51.6535688,4.8397057
