,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,fc,1,False,0.1,0.09907492523882157,23002.739350513708,6.464214015151579,0.09521958667310745,22242.852641223464,6.214127351448176
0,fc,1,True,0.01,0.10217551922821859,23842.778674902514,6.615983269960185,0.09308497618380099,21769.341531587434,6.052685948849854
0,fc,1,True,0.05,0.09839969796336683,22994.088954009647,6.454821122475895,0.09612293036964115,22455.77563291533,6.229316239563969
0,fc,1,True,0.1,0.0987591620015545,22925.081684736262,6.456204936417749,0.09680330977558803,22518.50361541636,6.320804110228946
0,fc,1,True,0.2,0.0993092422398631,23042.44522275742,6.493139460925522,0.09687840415504845,22682.772246842986,6.317421615243764
0,fc,1,True,0.35,0.099173629721488,23206.926396821735,6.488118836924303,0.09414770194844975,22145.89614978249,6.125062901394142
0,fc,1,True,0.6,0.09972829607335815,23199.473537934922,6.462754192020482,0.09426232692597568,22103.50456736063,6.087215240036215
0,fc,1,True,0.8,0.09922759843740903,22950.96526029254,6.533377177820787,0.09595445547276113,22424.714754168683,6.23103227263168
0,fc,1,True,1.0,0.09912231219012407,23177.126345689237,6.4837263383926205,0.0944414657919072,22039.597357654835,6.140184544215885
0,fc,2,False,0.1,0.09893247688963408,22986.960301192503,6.4877615755372595,0.09523405464924661,22253.082726377328,6.208216896302009
0,fc,2,True,0.01,0.10435675934454965,24096.925645812196,6.756933810731757,0.09366573229824057,22002.073306632625,6.088221499969053
0,fc,2,True,0.05,0.10040704026688181,23332.574461107368,6.623141276041721,0.09544555271771016,22207.52861752767,6.298165424213963
0,fc,2,True,0.1,0.09886755275862277,23048.327750097586,6.4713611701829485,0.09467527018106238,22286.29593547938,6.181151758981995
0,fc,2,True,0.2,0.0989991083436895,22955.47120230596,6.478418157374902,0.09701605808644706,22701.0644696044,6.356672232604331
0,fc,2,True,0.35,0.09955030206240834,23194.66651190105,6.560414216800965,0.09538809955115621,22337.274595999137,6.29186888495464
0,fc,2,True,0.6,0.09970948184585327,23156.699736532144,6.564981906931691,0.09531292576907054,22299.293347825813,6.241816411688942
0,fc,2,True,0.8,0.09898107823810814,23138.59848142088,6.425743829046807,0.09393059428217558,22183.85343816816,6.064109820563471
0,fc,2,True,1.0,0.09997798687219567,23236.02329441141,6.600054784324065,0.09740517334593095,22559.852533344598,6.371391119071146
0,fc,3,False,0.1,0.09879140228982561,23058.400522463853,6.425429464835175,0.09349184010957069,21865.24484363648,6.047127169561654
0,fc,3,True,0.01,0.10186998802322833,23751.805750304407,6.6692607646494455,0.09595493581412402,22377.82041771968,6.289860460225169
0,fc,3,True,0.05,0.10043679563717937,23457.59490869978,6.571611366083571,0.09352227963859346,21787.77554759622,6.106670372739182
0,fc,3,True,0.1,0.09928127704460676,23122.165076743662,6.54398933052949,0.0950986960847963,22156.033050687696,6.231376621338522
0,fc,3,True,0.2,0.09902122210242939,23225.859806226203,6.508665099277914,0.09502482431188666,22337.731450502884,6.252646945768187
0,fc,3,True,0.35,0.09936525413284154,23267.90937546058,6.444606323068136,0.09754832192081585,22991.90036658782,6.376167721200296
0,fc,3,True,0.6,0.09943704938357914,23274.834298992184,6.497430745087324,0.09771740007031282,22808.952582157355,6.35921695402301
0,fc,3,True,0.8,0.09962647851779358,23247.721747112562,6.484129158034091,0.09285620821469058,21928.922431706163,5.975334398674286
0,fc,3,True,1.0,0.09938697439090916,23137.390593393196,6.564190938603684,0.09666463500569779,22640.36844077361,6.317050364148097
0,fc,4,False,0.1,0.09878408190621911,23050.774235327102,6.395570147322899,0.09406205843876105,22062.327225380526,6.11484138061754
0,fc,4,True,0.01,0.10189844869540841,23695.368681385688,6.719761904761946,0.09743639867355842,22617.53120006465,6.44421858339255
0,fc,4,True,0.05,0.098890927244773,22928.121188126905,6.509136142418076,0.0971948113682728,22725.261896879347,6.366605042722696
0,fc,4,True,0.1,0.09845155265839226,22993.988136131946,6.425172028520724,0.09677686794139598,22639.1640427099,6.319037704881227
0,fc,4,True,0.2,0.09958723040375272,23175.576029374177,6.4596142860616075,0.09745165647473904,22815.82233170148,6.330771388899431
0,fc,4,True,0.35,0.09983786606391842,23117.60576402715,6.594526041666632,0.09741285049631715,22612.61366310008,6.398899234693829
0,fc,4,True,0.6,0.09991894046954754,23368.109018035997,6.533888294051893,0.09801336406851424,23014.512201094472,6.384829654569479
0,fc,4,True,0.8,0.09989765780116162,23292.98540818079,6.442391756932969,0.09542140429552808,22411.283234751925,6.1886704224339635
