,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,sp,1,False,0.1,0.1397850480321008,159949.95344457644,10.277003192204292,0.1353929461827487,155593.70891172864,9.66055341577837
0,sp,1,True,0.01,0.1415059698059819,162577.64527465237,10.318247830469884,0.13608458464640505,157040.7246969609,9.786608662614011
0,sp,1,True,0.05,0.1417805386282529,163061.5368236438,10.382070961047251,0.13383755299708647,154796.48725956486,9.567732133749754
0,sp,1,True,0.1,0.14218724789394224,163434.88810060517,10.598630466331349,0.13864910715558548,158666.97365698748,10.149528301886784
0,sp,1,True,0.2,0.1425114162432168,162457.3122614888,10.647931443629108,0.13761167643604824,157040.83035432495,9.984326602564177
0,sp,1,True,0.35,0.1429534760787501,162334.4841363408,10.732317415730403,0.14024897883095938,159500.74478604633,10.278892435794607
0,sp,1,True,0.6,0.14384452274738077,163117.13168063675,10.705591935249764,0.13612141862401866,155828.71782021958,9.901895322712367
0,sp,1,True,0.8,0.1441347921535635,165188.48026921722,10.686743202917752,0.1358288062086321,157361.31287879372,9.7882724223164
0,sp,1,True,1.0,0.14365803189406653,163920.58950056118,10.635683699619655,0.13509442432163515,156286.52857551005,9.65685560226959
0,sp,2,False,0.1,0.1405424974051393,160126.91177574376,10.334734933665374,0.13433182912455302,154057.81433099587,9.660140100841993
0,sp,2,True,0.01,0.14226031449240661,162117.39459989287,10.515849404761891,0.13674557599942225,156542.02828496735,9.883658377794708
0,sp,2,True,0.05,0.14111956989189073,160336.1196305895,10.565871396396432,0.13703018042663637,156824.23749865635,9.880729985955039
0,sp,2,True,0.1,0.14124948255928355,162310.3322166908,10.479840545967992,0.1362942374188981,156864.4209342196,9.830222723704862
0,sp,2,True,0.2,0.1415774209564298,161504.38467964908,10.554596125661163,0.13624155068898408,155868.33755758268,9.818233601006208
0,sp,2,True,0.35,0.14284986213694922,163505.51392677438,10.605428728070182,0.13646243549031944,155937.0615760747,9.849983593749933
0,sp,2,True,0.6,0.14347473775422123,163769.23502873824,10.683560177759913,0.13558366698535906,156341.40491884758,9.74440054086536
0,sp,2,True,0.8,0.14487922047498153,163547.93303530928,11.008389010941702,0.1395402617624626,158614.5730240099,10.285730711722538
0,sp,2,True,1.0,0.14504353717826624,165086.70218441234,11.01922741008258,0.136336153577988,156587.8505365938,9.919553819444449
0,sp,3,False,0.1,0.14050488830747063,160372.54721239937,10.288572409284084,0.13337495939251104,153167.97207531185,9.532605854605986
